protein,IHD,CM,ARR,VD,CHD,CCD,VOO,OTH
UniRef90_Q60597-2,0.015113277,0.010871336,0.004837493,0,0.004992987,0,0,0
UniRef90_F1RUU2,0,0.00468186,0,0,0,0,0,0
UniRef90_A0A2R9BF28,0.004548792,0,0,0,0,0,0,0
UniRef90_K7ER02,0.021874154,0.021468327,0.019774094,0.023124593,0.025216983,0,0.020520538,0.017833247
UniRef90_Q9NRX3,0.013647018,0.01404638,0.004837551,0,0.004993046,0,0,0.004821384
UniRef90_A0A0G2K013,0.02543163,0.025108453,0.0096715,0.019971501,0.007910311,0.005244751,0,0.017282965
UniRef90_A2A3R7,0.024227817,0.024227147,0.014509072,0.005107884,0.004990732,0.012179754,0,0.022122225
UniRef90_P51158,0,0,0,0,0.007914111,0,0,0
UniRef90_Q9WTT7,0.012771363,0.007420448,0,0,0.011594566,0,0,0
UniRef90_Q9WVQ5,0.035846306,0.036908391,0,0,0,0,0,0
UniRef90_F2Z2C0,0,0,0.004837665,0,0,0,0,0
UniRef90_A0A480UG54,0.009097335,0.018736538,0,0,0.004992809,0,0,0.004821154
UniRef90_A0A2K6L0P1,0,0,0,0,0,0,0,0.004821501
UniRef90_P50990,0,0,0.011233041,0,0.011594002,0.012185263,0,0
UniRef90_H0YAQ5,0.019297013,0.032917263,0.015311954,0.017655164,0.017246661,0.008302095,0,0.03253543
UniRef90_Q99933,0.044096077,0.032530888,0.036484356,0.018195961,0.025259548,0.021327595,0.015461935,0.031817724
UniRef90_Q99470,0,0.004681852,0,0,0,0,0,0.004821493
UniRef90_O43615,0.007209381,0.018293806,0,0,0.007913726,0,0,0.018840029
UniRef90_O95967,0,0.010868234,0,0.018915548,0.020421466,0,0,0.030681979
UniRef90_H0YBL1,0,0.00468186,0,0,0,0,0,0
UniRef90_E9QLZ9,0.014417908,0.02275998,0,0,0.00791269,0,0,0.0211869
UniRef90_P01008,0.044076275,0.031704994,0.037609377,0.035183623,0.033371141,0.022746319,0.030580565,0.029558823
UniRef90_H0YFS2,0.00909792,0.007420616,0,0,0,0,0,0
UniRef90_D4A6T5,0,0.00468186,0,0,0,0,0,0
